n,k,inst,alg,J,gap_bp,sharpe_train,sharpe_test,runtime_s
20,5,4,greedy,1.8757418348710163e-06,0.1168570612350157,0.9410672472779684,0.4745967850098959,0.0005836000200361013
20,5,4,lasso,-0.0001843212373812248,1.9788268533959739,1.06292038544362,0.6055917247011379,0.015197699889540672
20,5,4,SA-1ch-10k,1.3561447958372586e-05,0.0,1.0213044662502357,0.7335461940405098,0.07957810000516474
30,5,0,oracle,3.883239718171464e-05,0.0,0.9760864171364743,0.6987607470976899,0.12899810005910695
30,5,0,top-eig,-0.0015763279473578755,16.1516034453959,0.3915687107853163,1.1368322254125016,0.000301400083117187
30,5,0,greedy,3.883239718171464e-05,0.0,0.9760864171364743,0.6987607470976899,0.0009832000359892845
30,5,0,lasso,-0.0008584140873621066,8.972464845438212,0.5701951096821822,0.470408815579426,0.0111992999445647
30,5,0,SA-1ch-10k,3.883239718171464e-05,0.0,0.9760864171364743,0.6987607470976899,0.08716350002214313
30,5,1,oracle,8.024744943009143e-05,0.0,1.039201064569128,-0.38033511990454477,0.054128500050865114
30,5,1,top-eig,-0.0015150644545562331,15.953119039863244,0.4346600968015004,-0.06187180025914544,0.00021670002024620771
30,5,1,greedy,7.377634449388883e-05,0.06471104936202604,0.9384019550700274,0.05367297376699091,0.0009215000318363309
30,5,1,lasso,-0.0005015974751983983,5.818449246284898,0.7497678980078969,-0.12077467289222363,0.017333200084976852
30,5,1,SA-1ch-10k,8.024744943009143e-05,0.0,1.039201064569128,-0.38033511990454477,0.08026769990101457
30,5,2,oracle,1.8106726721143595e-05,0.0,0.8864852193219116,1.2255734930037552,0.05126939993351698
30,5,2,top-eig,-0.0015117114854363495,15.29818212157493,0.4177406928731334,0.6196195228364155,0.0002125999890267849
30,5,2,greedy,1.8106726721143595e-05,0.0,0.8864852193219116,1.2255734930037552,0.0008983999723568559
30,5,2,lasso,-0.00026387484665891874,2.8198157338006236,0.880270391389737,1.183175102836885,0.02892519999295473
30,5,2,SA-1ch-10k,1.8106726721143595e-05,0.0,0.8864852193219116,1.2255734930037552,0.07754990004468709
30,5,3,oracle,0.00015834553156435682,0.0,1.1158152718382384,0.19532623659650342,0.05090230004861951
30,5,3,top-eig,-0.001441654371266021,15.99999902830378,0.8550188163080908,0.8658887894530912,0.0002028000308200717
30,5,3,greedy,0.00015834553156435682,0.0,1.1158152718382384,0.19532623659650342,0.0007757000857964158
30,5,3,lasso,-8.874751014442466e-05,2.470930417087815,1.1371246676437132,0.7795670118479959,0.018252599984407425
30,5,3,SA-1ch-10k,0.00015834553156435682,0.0,1.1158152718382384,0.19532623659650342,0.07410130009520799
30,5,4,oracle,4.478032585250981e-05,0.0,0.9337904441044966,0.6407091600879864,0.04820870002731681
30,5,4,top-eig,-0.0019341790461770375,19.789593720295475,0.31093977408325374,0.5932390302235186,0.00018970004748553038
30,5,4,greedy,4.478032585250981e-05,0.0,0.9337904441044966,0.6407091600879864,0.0007752999663352966
30,5,4,lasso,-0.000272240204770021,3.1702053062253084,0.8118781297511939,-0.15336237558641186,0.02950940001755953
30,5,4,SA-1ch-10k,4.478032585250981e-05,0.0,0.9337904441044966,0.6407091600879864,0.0729319000383839
30,8,0,oracle,1.3918265898820999e-05,0.0,0.9066423463721001,0.5799862628113056,3.4747530000749975
30,8,0,top-eig,-0.0008838932871525285,8.978115530513495,0.6107844829679115,0.2707773089401156,0.0001764999469742179
30,8,0,greedy,1.3918265898820999e-05,0.0,0.9066423463721001,0.5799862628113056,0.0011661999160423875
30,8,0,lasso,-0.00033677409968052205,3.5069236557934307,0.7295112354658444,0.25942782970740386,0.03784120001364499
30,8,0,SA-1ch-10k,1.3918265898820999e-05,0.0,0.9066423463721001,0.5799862628113056,0.0822708000196144
30,8,1,oracle,0.00010285037102559201,0.0,0.9956979689557864,0.47439124743748445,3.481873800046742
30,8,1,top-eig,-0.0008629146640274408,9.657650350530329,0.5537293720111569,-0.23747500747004086,0.00018069997895509005
